Cause,ICD10,ICD9
"Communicable, maternal, neonatal, and nutritional diseases","A00-A00.9, A01.0-A14, A15-A28.9, A32-A39.9, A48.1-A48.2, A48.4-A48.5, A50-A58, A60-A60.9, A63-A63.8, A65-A65.0, A68-A70, A74, A74.8-A75.9, A77-A96.9, A98-A98.8, B00-B06.9, B10-B10.8, B15-B16.2, B17.0, B17.2, B19.1, B20-B27.9, B29.4, B33-B33.1, B33.3-B33.8, B47-B48.8, B50-B54.0, B55.0, B56-B57.5, B60-B60.8, B63, B65-B67.9, B69-B72.0, B74.3-B75, B77-B77.9, B83-B83.8, B90-B91, B94.1, B95-B95.5, B97.4-B97.6, C58-C58.0, D50.1-D50.8, D51-D52.0, D52.8-D53.9, D70.3, D89.3, E00-E02, E40-E46.9, E51-E61.9, E63-E64.0, E64.2-E64.9, F02.1, F02.4, F07.1, G00.0-G00.8, G03-G03.8, G04-G05.8, G14-G14.6, G21.3, H70-H70.9, I00, I02, I02.9, I98.0-I98.1, J00-J02.8, J03-J03.8, J04-J04.2, J05-J05.1, J06.0-J06.8, J09-J15.8, J16-J16.9, J20-J21.9, J36-J36.0, J91.0, K52.1, K67.0-K67.8, K75.3, K76.3, K77.0, K93.0-K93.1, M03.1, M12.1, M49.0-M49.1, M73.0-M73.1, M89.6, N74.1, N96, N98-N98.9, O00-O07.9, O09-O16.9, O20-O26.9, O28-O36.9, O40-O48.1, O60-O77.9, O80-O92.7, O96-O98.6, O98.8-P04.2, P04.5-P05.9, P07-P15.9, P19-P22.9, P23.0-P23.4, P24-P29.9, P35-P37.2, P37.5-P39.9, P50-P61.9, P70-P70.1, P70.3-P72.9, P74-P78.9, P80-P81.9, P83-P84, P90-P94.9, P96, P96.3-P96.4, P96.8, R19.7, U04-U04.9, U06-U06.9, U82-U89, Z16-Z16.3","001-001.9, 002.0-029, 032-034.9, 036-036.3, 036.5-037.9, 040, 040.1-041.0, 042-066.9, 070.0-070.2, 071-075.9, 078.3-078.7, 079-079.7, 080-083.9, 084.0-084.5, 084.7-084.9, 085.0, 086-088, 088.8-088.9, 090-101.6, 104-104.9, 120-124.9, 125.4-125.9, 127-127.1, 128-129.0, 136-136.2, 137-139.0, 181-181.9, 244.2, 260-263.9, 265-269.9, 281.0-281.9, 320.0-320.8, 321-323.9, 381-383.9, 390-390.9, 392, 392.9, 425.6, 460-464.4, 464.8-464.9, 465.0-465.8, 466-469, 470.0, 475-475.9, 476.9, 480-482.8, 483.0-483.9, 484.0-484.7, 487-489, 630-636.9, 638-638.9, 640-679.1, 716.0, 730.4-730.6, 760-760.6, 760.8-768, 768.2-770, 770.1-775.0, 775.4-779.3, 779.6-779.8, V09-V09.9"
HIV/AIDS and sexually transmitted infections,"A50-A58, A60-A60.9, A63-A63.8, B20-B24.9, B63, F02.4, I98.0, K67.0-K67.2, M03.1, M73.0-M73.1","042-044.9, 054.1, 090-099.9"
HIV/AIDS,"B20-B24.9, F02.4",042-044.9
HIV/AIDS–drug-susceptible tuberculosis,B20.0,
HIV/AIDS–multidrug-resistant tuberculosis without extensive drug resistance,,
HIV/AIDS–extensively drug-resistant tuberculosis,,
HIV/AIDS resulting in other diseases,"B20, B20.1-B24.9, F02.4",042-044.9
Sexually transmitted infections excluding HIV,"A50-A58, A60-A60.9, A63-A63.8, B63, I98.0, K67.0-K67.2, M03.1, M73.0-M73.1","054.1, 090-099.9"
Syphilis,"A50-A53.9, I98.0, K67.2, M03.1, M73.1",090-097.9
Chlamydial infection,"A55-A56.8, K67.0",
Gonococcal infection,"A54-A54.9, K67.1, M73.0",098-098.9
Other sexually transmitted infections,"A57-A58, A63-A63.8, B63",099-099.9
